AvgTime,Age,Food,Drinks,FreePass,Opinion_Polarity,Concert_StartTime,Concert_EndTime,Concert_Duration,PreferedAlbum_Head Hunters,PreferedAlbum_Kind of Blue,Vinyl_True,VIP_True,Concert_City_NYC,Concert_City_SF,Ticket_Type_B,Ticket_Type_CB,Ticket_Type_LB,Ticket_Type_LT,Ticket_Type_PB,Ticket_Type_RB,Ticket_Type_RT,Ticket_Class_XL
2.7,44.0,962.0,0.0,True,-0.3333333333333333,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.88,22.0,17.0,628.0,False,0.22694805194805195,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.602,34.0,2613.0,2845.0,False,0.5,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.834,20.0,696.0,22.0,True,0.0,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2.905,47.0,0.0,0.0,True,0.1,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2.995,22.0,0.0,0.0,True,0.44999999999999996,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0.974,36.0,4756.0,7914.0,False,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
0.858,55.0,695.0,87.0,False,-0.75,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.55,38.0,1577.0,4784.0,False,0.4166666666666667,16.0,7.0,3.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2.696,46.0,0.0,0.0,True,0.2222222222222222,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
0.923,29.0,258.0,605.0,False,0.3625,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.342,31.0,53.0,3980.0,False,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.701,28.0,944.0,75.0,False,0.35,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2.146,56.0,0.0,0.0,True,0.8,16.0,7.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.171,20.0,265.0,1080.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.987,45.0,0.0,0.0,True,0.3625,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
3.549,26.0,0.0,0.0,True,0.0,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
3.906,21.0,1270.0,18.0,True,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2.153,61.0,2353.0,62.0,True,0.7,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.895,42.0,1662.0,106.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.248,17.0,688.0,320.0,False,0.4375,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.949,40.0,928.0,0.0,False,0.18492063492063493,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3.595,12.0,0.0,0.0,True,0.09999999999999998,16.0,7.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2.534,70.0,390.0,518.0,True,0.1,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3.646,27.0,0.0,0.0,True,0.7,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2.684,19.0,0.0,0.0,True,0.2,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2.229,25.0,0.0,0.0,True,0.6333333333333333,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
3.224,40.0,52.0,877.0,True,-0.13333333333333333,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3.788,10.0,0.0,0.0,True,0.5,12.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0.017,27.0,0.0,0.0,False,-0.04722222222222224,12.0,5.0,5.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
2.363,22.0,0.0,0.0,True,0.0,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0.682,17.0,6256.0,22.0,False,0.0,16.0,7.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2.044,29.0,0.0,0.0,True,0.7,16.0,7.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0.15,27.0,2013.0,37.0,False,1.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3.768,22.0,0.0,0.0,True,0.23333333333333336,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
3.396,2.0,0.0,0.0,True,0.32155844155844154,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3.617,44.0,0.0,0.0,True,-0.5125,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.771,32.0,1558.0,1844.0,False,0.48,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2.12,43.0,727.0,23.0,True,0.0,14.0,7.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.492,23.0,0.0,419.0,False,-0.5,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.91,61.0,0.0,0.0,False,0.26666666666666666,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
0.715,38.0,1246.0,1522.0,False,0.4416666666666667,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3.781,56.0,0.0,0.0,True,0.375,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
0.768,21.0,72.0,486.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.12,27.0,1020.0,1.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0.097,35.0,0.0,0.0,False,0.0,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0.851,36.0,809.0,86.0,False,0.3136904761904762,14.0,7.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0.226,37.0,3675.0,7017.0,False,0.18492063492063493,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.867,48.0,0.0,4329.0,False,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2.838,40.0,0.0,0.0,True,0.44999999999999996,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3.795,19.0,801.0,2.0,True,1.0,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.143,31.0,0.0,0.0,False,0.29910714285714285,12.0,5.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0.308,39.0,84.0,677.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.929,13.0,104.0,595.0,False,0.0,16.0,7.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.13,39.0,2804.0,269.0,True,0.4333333333333333,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0.84,21.0,0.0,0.0,False,0.35,16.0,7.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0.054,24.0,1015.0,6.0,False,0.4666666666666666,12.0,5.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3.77,35.0,0.0,0.0,True,1.0,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
3.347,27.0,0.0,0.0,True,0.38463203463203466,14.0,7.0,5.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3.109,64.0,0.0,0.0,True,0.4166666666666667,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0.448,29.0,0.0,865.0,False,0.2875,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.124,16.0,672.0,0.0,True,0.7,14.0,7.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.91,23.0,1268.0,121.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.015,73.0,1853.0,0.0,False,0.09999999999999998,14.0,7.0,5.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0.107,36.0,1605.0,87.0,False,0.6,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
3.377,30.0,628.0,0.0,True,0.05,16.0,7.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.645,21.0,0.0,737.0,False,0.35714285714285715,14.0,7.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
3.196,61.0,704.0,1.0,True,0.3136904761904762,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3.453,18.0,0.0,0.0,True,0.30000000000000004,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0.105,51.0,553.0,118.0,False,0.0,14.0,7.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
3.433,16.0,0.0,0.0,True,0.35,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2.887,21.0,0.0,0.0,True,0.09999999999999998,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2.409,55.0,880.0,0.0,True,0.35833333333333334,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3.838,14.0,0.0,0.0,True,0.55,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
0.449,32.0,2375.0,9.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0.508,18.0,0.0,747.0,False,0.14166666666666664,14.0,7.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0.86,22.0,836.0,598.0,False,0.18492063492063493,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.957,22.0,65.0,1603.0,False,-0.125,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0.512,39.0,2707.0,2948.0,False,-0.5125,12.0,5.0,5.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0.51,29.0,948.0,9129.0,False,0.2222222222222222,16.0,7.0,3.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0.727,26.0,1334.0,352.0,False,-0.7,16.0,7.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.193,32.0,2908.0,2926.0,False,0.32499999999999996,12.0,5.0,5.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
3.851,22.0,658.0,164.0,True,0.7,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.941,27.0,13.0,779.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0.001,23.0,0.0,757.0,False,-0.26666666666666666,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
2.424,50.0,1021.0,107.0,True,0.625,12.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0.002,31.0,3866.0,2549.0,False,0.3714285714285714,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0.626,54.0,2005.0,0.0,False,-0.5125,12.0,5.0,5.0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
0.341,1.0,0.0,0.0,False,0.49000000000000005,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0.398,26.0,151.0,630.0,False,0.14166666666666664,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.221,40.0,56.0,643.0,False,0.1395833333333333,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0.408,28.0,3528.0,5165.0,False,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
3.261,35.0,508.0,300.0,True,-0.26666666666666666,14.0,7.0,5.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
2.406,30.0,0.0,0.0,True,0.2222222222222222,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
0.828,42.0,871.0,38.0,False,0.1,16.0,7.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3.722,37.0,8190.0,323.0,True,0.2222222222222222,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2.196,54.0,0.0,0.0,True,0.18,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
3.98,16.0,0.0,0.0,True,0.7,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
3.222,29.0,0.0,0.0,True,0.07499999999999998,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0.699,61.0,1723.0,0.0,False,0.18492063492063493,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2.046,16.0,820.0,14.0,True,0.05,14.0,7.0,5.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3.764,27.0,1531.0,1.0,True,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0.095,24.0,700.0,0.0,False,0.22694805194805195,16.0,7.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.369,18.0,0.0,0.0,True,0.4357142857142858,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.057,23.0,690.0,1888.0,False,0.3277777777777778,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.506,39.0,266.0,1451.0,False,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0.73,56.0,1721.0,96.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.664,6.0,0.0,0.0,False,0.30000000000000004,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0.864,37.0,1978.0,2491.0,False,0.4333333333333333,16.0,7.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3.395,26.0,2222.0,118.0,True,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2.55,49.0,0.0,0.0,True,0.30000000000000004,14.0,7.0,5.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
0.133,27.0,21.0,1363.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.674,45.0,6040.0,625.0,True,0.48,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3.829,52.0,0.0,0.0,True,0.6333333333333333,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
0.606,22.0,840.0,63.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3.27,11.0,0.0,0.0,True,0.35714285714285715,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0.766,43.0,417.0,5285.0,False,0.0,16.0,7.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.938,19.0,831.0,788.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2.034,41.0,0.0,0.0,True,0.22694805194805195,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0.101,15.0,2200.0,1261.0,False,0.2,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2.655,18.0,0.0,0.0,True,0.0,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
0.24,26.0,1623.0,1369.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3.197,20.0,0.0,0.0,True,-0.16666666666666666,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2.296,2.0,0.0,0.0,True,-0.13333333333333333,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
2.197,13.0,0.0,0.0,True,0.2222222222222222,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0.355,24.0,1721.0,59.0,False,0.0,14.0,7.0,5.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2.119,22.0,0.0,0.0,True,0.22694805194805195,12.0,5.0,5.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
0.541,15.0,961.0,19.0,False,0.5,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
3.261,33.0,950.0,102.0,True,0.4375,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2.641,26.0,0.0,0.0,True,-0.5125,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2.747,54.0,0.0,0.0,True,0.25999999999999995,16.0,7.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2.12,20.0,0.0,0.0,True,0.5,14.0,7.0,5.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0.409,19.0,0.0,0.0,False,0.0,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
3.476,2.0,0.0,0.0,True,0.49333333333333335,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0.861,22.0,0.0,0.0,False,0.3625,12.0,5.0,5.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
3.534,5.0,0.0,0.0,True,0.375,12.0,5.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3.659,27.0,1652.0,46.0,True,0.0,12.0,5.0,5.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
3.303,28.0,0.0,0.0,True,0.32499999999999996,12.0,5.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0.951,16.0,2770.0,1.0,False,0.0,16.0,7.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.547,35.0,0.0,0.0,True,0.4375,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
3.154,3.0,0.0,0.0,True,0.0,16.0,7.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0.07,38.0,0.0,0.0,False,0.0,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0.7,41.0,3722.0,0.0,False,-0.7,12.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2.983,27.0,0.0,0.0,True,0.8,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2.52,20.0,0.0,0.0,True,0.0,12.0,5.0,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2.107,16.0,0.0,0.0,True,0.0,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
2.584,32.0,0.0,0.0,True,0.5,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
0.114,34.0,461.0,424.0,False,0.55,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.898,43.0,7269.0,5117.0,False,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0.142,27.0,844.0,29.0,False,-0.26666666666666666,12.0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3.367,28.0,9933.0,204.0,True,0.5,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.992,46.0,0.0,884.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.428,26.0,1638.0,702.0,False,-0.75,12.0,5.0,5.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
3.854,28.0,680.0,2.0,True,0.5,14.0,7.0,5.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
2.512,14.0,973.0,1.0,True,0.55,16.0,7.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.382,36.0,1311.0,18.0,False,0.4,12.0,5.0,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0.586,31.0,0.0,0.0,False,0.0,12.0,5.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
3.34,27.0,4342.0,36.0,True,-0.04722222222222224,16.0,7.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.956,36.0,87.0,841.0,True,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.394,15.0,688.0,10.0,False,0.0,12.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0.235,13.0,344.0,437.0,False,0.0,12.0,5.0,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0.629,49.0,0.0,0.0,False,0.7,14.0,7.0,5.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3.255,31.0,2521.0,1.0,True,0.0,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.728,40.0,563.0,2839.0,False,0.32499999999999996,12.0,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2.003,23.0,0.0,0.0,True,0.16666666666666666,14.0,7.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
0.945,18.0,0.0,1624.0,False,0.8,12.0,5.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
